1-1-1996	58.90	58.90	58.90	100
1-2-1996	51.53	51.53	51.53	100
1-3-1996	50.23	50.23	50.23	100
1-4-1996	56.43	56.43	56.43	100
1-5-1996	64.48	64.48	64.48	100
1-6-1996	51.82	51.82	51.82	100
1-7-1996	36.13	36.13	36.13	100
1-8-1996	47.64	47.64	47.64	100
1-9-1996	57.88	57.88	57.88	100
1-10-1996	52.50	52.50	52.50	100
1-11-1996	53.62	53.62	53.62	100
1-12-1996	61.95	61.95	61.95	100
1-13-1996	77.86	77.86	77.86	100
1-14-1996	71.11	71.11	71.11	100
1-15-1996	81.03	81.03	81.03	100
1-16-1996	95.18	95.18	95.18	100
1-17-1996	96.38	96.38	96.38	100
1-18-1996	121.58	121.58	121.58	100
1-19-1996	138.58	138.58	138.58	100
